model	split	step	label_id	label	pred_id	pred_label
modelA	test	0	8	ship	3	cat
modelA	test	0	3	cat	2	bird
modelA	test	0	4	deer	3	cat
modelA	test	0	4	deer	3	cat
modelA	test	0	9	truck	3	cat
modelA	test	0	4	deer	2	bird
modelA	test	0	6	frog	2	bird
modelA	test	0	1	automobile	3	cat
modelA	test	0	5	dog	3	cat
modelA	test	0	7	horse	3	cat
modelA	test	0	7	horse	3	cat
modelA	test	0	9	truck	3	cat
modelA	test	0	0	airplane	0	airplane
modelA	test	0	1	automobile	3	cat
modelA	test	0	3	cat	3	cat
modelA	test	0	1	automobile	1	automobile
modelA	test	0	3	cat	3	cat
modelA	test	0	2	bird	0	airplane
modelA	test	0	4	deer	3	cat
modelA	test	0	0	airplane	0	airplane
modelA	test	0	7	horse	2	bird
